id,titulo_original,puesto,empresa,portal,fecha_publicacion,salario_min,salario_max,experiencia_anios,categoria_rol,descripcion,habilidades,cluster,pca_x,pca_y,nombre_cluster
74,Fullstack Engineer,Fullstack Engineer,GBM Panamá,LinkedIn,2026-04-06,2600.0,3500.0,5,Fullstack,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (GBM Panamá) busca incorporar un Fullstack Engineer con al menos 5 años de experiencia comprobada.,"Python,SQL",3,-0.18099213864182911,0.12465977141843967,Data & Analytics / BI
75,Java Engineer,Java Engineer,Sonda Panamá,LinkedIn,2026-05-02,2200.0,2600.0,2,Backend,"En Sonda Panamá estamos expandiendo nuestro equipo técnico. Requerimos Java Engineer con sólidos conocimientos en .NET, SQL, Python para liderar la transformación digital de la empresa.","Python,SQL,.NET",3,-0.14944830042530483,0.1159898374967102,Data & Analytics / BI
76,React Developer,React Developer,Autoridad del Canal de Panamá (ACP),LinkedIn,2026-04-28,1800.0,2100.0,3,Frontend,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Autoridad del Canal de Panamá (ACP)) busca incorporar un React Developer con al menos 3 años de experiencia comprobada.,"JavaScript,Git,TypeScript",0,-0.25048564549244806,-0.2638801709705912,Frontend / UI Web
77,Analista de Datos,Analista de Datos,PwC Panamá,Computrabajo,2026-03-04,2000.0,3400.0,3,Data & Analytics,Buscamos un Analista de Datos dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para PwC Panamá en Panamá.,"PostgreSQL,Python,SQL,Tableau",3,-0.1090714182129255,0.14321733754039978,Data & Analytics / BI
78,Ingeniero de Soporte,Ingeniero de Soporte,Banistmo,Konzerta,2026-02-10,900.0,1200.0,3,Soporte & IT,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Banistmo) busca incorporar un Ingeniero de Soporte con al menos 3 años de experiencia comprobada.,"Excel,Windows Server,Redes",2,0.31606692639896095,0.46988304957836685,Backend / Java / Core Systems
79,UI Developer,UI Developer,Encuentra24 PA,Konzerta,2025-12-22,1400.0,2800.0,2,Frontend,"En Encuentra24 PA estamos expandiendo nuestro equipo técnico. Requerimos UI Developer con sólidos conocimientos en Vue, HTML para liderar la transformación digital de la empresa.","Vue,HTML",0,-0.07641015530793019,-0.15581564788613209,Frontend / UI Web
80,iOS App Developer,iOS App Developer,Supermercados Riba Smith,LinkedIn,2025-12-16,1800.0,2900.0,1,Mobile,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Supermercados Riba Smith) busca incorporar un iOS App Developer con al menos 1 años de experiencia comprobada.,"Git,Kotlin,React Native,Swift",0,-0.2106536825874349,-0.24042885463356084,Frontend / UI Web
81,Scrum Master,Scrum Master,APEDE,Computrabajo,2026-03-14,2200.0,3300.0,3,Gestión & Agile,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (APEDE) busca incorporar un Scrum Master con al menos 3 años de experiencia comprobada.,"Excel,Scrum,Agile",1,0.7002139806344932,-0.2750376249568518,Data & Analytics / BI
82,Backend Developer,Backend Developer,Global Bank,Konzerta,2025-12-22,2200.0,2800.0,3,Backend,Buscamos un Backend Developer dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Global Bank en Panamá.,".NET,Node.js",3,-0.0916162864936247,0.04453360918603211,Data & Analytics / BI
83,Scrum Master,Scrum Master,GBM Panamá,Konzerta,2026-03-18,2300.0,3400.0,1,Gestión & Agile,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (GBM Panamá) busca incorporar un Scrum Master con al menos 1 años de experiencia comprobada.,"Excel,Jira,Scrum,Agile",1,0.8036662922095256,-0.3704113148892216,Data & Analytics / BI
84,Frontend Developer,Frontend Developer,Multibank,LinkedIn,2026-02-12,1400.0,2800.0,1,Frontend,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Multibank) busca incorporar un Frontend Developer con al menos 1 años de experiencia comprobada.,"Angular,TypeScript,CSS,HTML",0,-0.09217823903108695,-0.18371118789128082,Frontend / UI Web
85,Administrador de Sistemas,Administrador de Sistemas,Tigo Panamá,Konzerta,2026-01-22,900.0,1500.0,2,Soporte & IT,Buscamos un Administrador de Sistemas dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Tigo Panamá en Panamá.,"Excel,Cisco,Virtualización,Linux,Redes",2,0.2825017976895228,0.53006383493363,Backend / Java / Core Systems
86,DevOps Engineer,DevOps Engineer,GBM Panamá,LinkedIn,2026-02-06,1900.0,4300.0,3,DevOps & Cloud,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (GBM Panamá) busca incorporar un DevOps Engineer con al menos 3 años de experiencia comprobada.,"Python,Docker,Git,Linux",3,-0.2414685460498292,0.23870497579101696,Data & Analytics / BI
87,Python Developer,Python Developer,Banco General,LinkedIn,2025-12-20,1800.0,2200.0,1,Backend,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Banco General) busca incorporar un Python Developer con al menos 1 años de experiencia comprobada.,"Python,Spring Boot,SQL,C#",3,-0.13898376390410278,0.12818336556239476,Data & Analytics / BI
88,Administrador de Sistemas,Administrador de Sistemas,Cable & Wireless,Computrabajo,2026-03-07,900.0,1800.0,3,Soporte & IT,Buscamos un Administrador de Sistemas dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Cable & Wireless en Panamá.,"Excel,Virtualización,Windows Server,Linux,Redes",2,0.3116284588088218,0.6218598863679048,Backend / Java / Core Systems
89,Fullstack Engineer,Fullstack Engineer,Encuentra24 PA,LinkedIn,2026-02-24,2200.0,3000.0,2,Fullstack,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Encuentra24 PA) busca incorporar un Fullstack Engineer con al menos 2 años de experiencia comprobada.,"Python,Node.js,JavaScript,React",0,-0.35599924320768517,-0.18752296049522527,Frontend / UI Web
90,Administrador Cloud,Administrador Cloud,Global Bank,Computrabajo,2025-12-29,2200.0,4300.0,3,DevOps & Cloud,"En Global Bank estamos expandiendo nuestro equipo técnico. Requerimos Administrador Cloud con sólidos conocimientos en Python, AWS, Docker, Linux, Azure para liderar la transformación digital de la empresa.","Python,Docker,Linux,AWS,Azure",3,-0.1898474361719687,0.3076326066410431,Data & Analytics / BI
91,Fullstack Engineer,Fullstack Engineer,PwC Panamá,Konzerta,2026-04-26,2400.0,3700.0,1,Fullstack,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (PwC Panamá) busca incorporar un Fullstack Engineer con al menos 1 años de experiencia comprobada.,"Docker,SQL,JavaScript,Git,React",0,-0.41565243370723354,-0.23606521001081524,Frontend / UI Web
92,Fullstack Engineer,Fullstack Engineer,Caja de Seguro Social,Konzerta,2026-05-29,2300.0,3300.0,2,Fullstack,"En Caja de Seguro Social estamos expandiendo nuestro equipo técnico. Requerimos Fullstack Engineer con sólidos conocimientos en JavaScript, React, Docker, Node.js, SQL para liderar la transformación digital de la empresa.","Docker,SQL,Node.js,JavaScript,React",3,-0.361875445395903,-0.16878356134525993,Data & Analytics / BI
93,Data Analyst,Data Analyst,Copa Airlines,Computrabajo,2026-01-25,1800.0,3200.0,1,Data & Analytics,Buscamos un Data Analyst dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Copa Airlines en Panamá.,"Excel,Python,R,Spark",3,0.12843992453737177,0.1473923561207117,Data & Analytics / BI
94,DevOps Engineer,DevOps Engineer,Felipe Motta,LinkedIn,2026-04-22,2100.0,4300.0,3,DevOps & Cloud,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Felipe Motta) busca incorporar un DevOps Engineer con al menos 3 años de experiencia comprobada.,"Python,AWS,Azure",3,-0.16817547652194859,0.17295594927331326,Data & Analytics / BI
95,Administrador de Sistemas,Administrador de Sistemas,Sonda Panamá,Computrabajo,2026-04-01,1000.0,1400.0,2,Soporte & IT,Buscamos un Administrador de Sistemas dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Sonda Panamá en Panamá.,"Excel,Cisco,Virtualización,Windows Server,Linux",2,0.31193086166592743,0.6323178258709383,Backend / Java / Core Systems
96,iOS App Developer,iOS App Developer,Cable & Wireless,LinkedIn,2026-05-08,1400.0,2000.0,1,Mobile,"En Cable & Wireless estamos expandiendo nuestro equipo técnico. Requerimos iOS App Developer con sólidos conocimientos en Git, React Native para liderar la transformación digital de la empresa.","Git,React Native",0,-0.27711454433766813,-0.282969768556954,Frontend / UI Web
97,Scrum Master,Scrum Master,APEDE,Konzerta,2026-01-16,1900.0,3300.0,1,Gestión & Agile,Buscamos un Scrum Master dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para APEDE en Panamá.,"Excel,Agile",1,0.5945152931454837,-0.1446990679873911,Data & Analytics / BI
98,Android Developer,Android Developer,Banistmo,Konzerta,2026-05-21,2000.0,2700.0,1,Mobile,Buscamos un Android Developer dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Banistmo en Panamá.,"JavaScript,Flutter",0,-0.15249658640179203,-0.2067227769097824,Frontend / UI Web
99,Cloud Infrastructure Specialist,Cloud Infrastructure Specialist,Banistmo,Konzerta,2026-06-08,2000.0,4000.0,1,DevOps & Cloud,Buscamos un Cloud Infrastructure Specialist dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Banistmo en Panamá.,"Python,Git,Terraform,AWS",3,-0.2623557928893298,0.10541928607919725,Data & Analytics / BI
100,Data Scientist,Data Scientist,Telered,LinkedIn,2026-01-29,1500.0,2300.0,2,Data & Analytics,"En Telered estamos expandiendo nuestro equipo técnico. Requerimos Data Scientist con sólidos conocimientos en Power BI, Python, Excel para liderar la transformación digital de la empresa.","Excel,Python,Power BI",3,0.11554765784937894,0.11764645491316718,Data & Analytics / BI
101,DevOps Engineer,DevOps Engineer,Sonda Panamá,LinkedIn,2026-01-02,2900.0,3300.0,4,DevOps & Cloud,"En Sonda Panamá estamos expandiendo nuestro equipo técnico. Requerimos DevOps Engineer con sólidos conocimientos en Terraform, AWS para liderar la transformación digital de la empresa.","Terraform,AWS",3,-0.1238531775397336,0.12329162307490106,Data & Analytics / BI
102,Desarrollador Web Fullstack,Desarrollador Web Fullstack,Banco General,Konzerta,2025-12-29,2000.0,3800.0,2,Fullstack,"En Banco General estamos expandiendo nuestro equipo técnico. Requerimos Desarrollador Web Fullstack con sólidos conocimientos en SQL, Python, AWS, Docker para liderar la transformación digital de la empresa.","Python,Docker,SQL,AWS",3,-0.2804904401227728,0.16022824391421522,Data & Analytics / BI
103,Frontend Developer,Frontend Developer,Supermercados Riba Smith,LinkedIn,2026-05-04,1600.0,2800.0,2,Frontend,"En Supermercados Riba Smith estamos expandiendo nuestro equipo técnico. Requerimos Frontend Developer con sólidos conocimientos en JavaScript, React, HTML, Git, Vue para liderar la transformación digital de la empresa.","JavaScript,Git,React,Vue,HTML",0,-0.31922608881669867,-0.38198941691118954,Frontend / UI Web
104,Desarrollador Web Fullstack,Desarrollador Web Fullstack,Banistmo,LinkedIn,2026-01-25,1800.0,2300.0,2,Fullstack,"En Banistmo estamos expandiendo nuestro equipo técnico. Requerimos Desarrollador Web Fullstack con sólidos conocimientos en JavaScript, Git, React, AWS para liderar la transformación digital de la empresa.","JavaScript,Git,React,AWS",0,-0.4101677657309663,-0.28028443702486394,Frontend / UI Web
105,React Developer,React Developer,PwC Panamá,Computrabajo,2025-12-16,1800.0,2700.0,3,Frontend,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (PwC Panamá) busca incorporar un React Developer con al menos 3 años de experiencia comprobada.,"Vue,TypeScript,CSS",0,-0.09813646112209967,-0.19301847931308794,Frontend / UI Web
106,Administrador de Sistemas,Administrador de Sistemas,Cable & Wireless,Computrabajo,2026-05-27,1100.0,1700.0,1,Soporte & IT,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Cable & Wireless) busca incorporar un Administrador de Sistemas con al menos 1 años de experiencia comprobada.,"Virtualización,Linux,Redes",2,0.13249585615464674,0.48036804178040116,Backend / Java / Core Systems
107,Fullstack Engineer,Fullstack Engineer,GBM Panamá,Konzerta,2025-12-18,1700.0,2700.0,2,Fullstack,"En GBM Panamá estamos expandiendo nuestro equipo técnico. Requerimos Fullstack Engineer con sólidos conocimientos en AWS, Docker para liderar la transformación digital de la empresa.","Docker,AWS",3,-0.20649462945533975,0.11693532011564382,Data & Analytics / BI
108,Fullstack Engineer,Fullstack Engineer,Caja de Seguro Social,Konzerta,2026-03-22,2000.0,3300.0,2,Fullstack,"En Caja de Seguro Social estamos expandiendo nuestro equipo técnico. Requerimos Fullstack Engineer con sólidos conocimientos en SQL, React, AWS para liderar la transformación digital de la empresa.","SQL,React,AWS",3,-0.27576114031752036,-0.07053906386605822,Data & Analytics / BI
109,Administrador de Sistemas,Administrador de Sistemas,Banistmo,Computrabajo,2026-01-03,1100.0,1600.0,1,Soporte & IT,Buscamos un Administrador de Sistemas dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Banistmo en Panamá.,"Excel,Cisco,Virtualización,Windows Server,Redes",2,0.33087761127126236,0.5963426206800081,Backend / Java / Core Systems
110,Administrador de Sistemas,Administrador de Sistemas,Autoridad del Canal de Panamá (ACP),Konzerta,2026-02-04,1100.0,1600.0,3,Soporte & IT,"En Autoridad del Canal de Panamá (ACP) estamos expandiendo nuestro equipo técnico. Requerimos Administrador de Sistemas con sólidos conocimientos en Excel, Virtualización, Windows Server para liderar la transformación digital de la empresa.","Excel,Virtualización,Windows Server",2,0.33053608444824206,0.4919563940421944,Backend / Java / Core Systems
111,Frontend Developer,Frontend Developer,APEDE,Konzerta,2025-12-25,1400.0,2300.0,3,Frontend,Buscamos un Frontend Developer dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para APEDE en Panamá.,"JavaScript,Git,CSS",0,-0.26117322695351697,-0.2812208089769688,Frontend / UI Web
112,Scrum Master,Scrum Master,APEDE,Computrabajo,2026-02-27,2500.0,3300.0,2,Gestión & Agile,Buscamos un Scrum Master dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para APEDE en Panamá.,"Excel,Agile",1,0.5945152931454837,-0.1446990679873911,Data & Analytics / BI
113,Scrum Master,Scrum Master,Autoridad del Canal de Panamá (ACP),LinkedIn,2026-03-23,2200.0,3200.0,3,Gestión & Agile,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Autoridad del Canal de Panamá (ACP)) busca incorporar un Scrum Master con al menos 3 años de experiencia comprobada.,"Excel,Jira,Scrum,Agile",1,0.8036662922095256,-0.3704113148892216,Data & Analytics / BI
114,Python Developer,Python Developer,Panafoto,Konzerta,2026-04-11,2100.0,2700.0,1,Backend,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Panafoto) busca incorporar un Python Developer con al menos 1 años de experiencia comprobada.,"Python,Spring Boot,Git,Java",3,-0.17097875858213546,0.07232967207119498,Data & Analytics / BI
115,Scrum Master,Scrum Master,Caja de Seguro Social,Konzerta,2026-04-23,2000.0,3200.0,1,Gestión & Agile,Buscamos un Scrum Master dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Caja de Seguro Social en Panamá.,"Excel,Jira,Scrum,Agile",1,0.8036662922095256,-0.3704113148892216,Data & Analytics / BI
116,Cloud Infrastructure Specialist,Cloud Infrastructure Specialist,Encuentra24 PA,Konzerta,2025-12-16,2800.0,3700.0,7,DevOps & Cloud,"En Encuentra24 PA estamos expandiendo nuestro equipo técnico. Requerimos Cloud Infrastructure Specialist con sólidos conocimientos en Linux, Azure, Terraform, Git para liderar la transformación digital de la empresa.","Git,Terraform,Linux,Azure",3,-0.11530896180268976,0.19971631365148323,Data & Analytics / BI
117,Python Developer,Python Developer,Autoridad del Canal de Panamá (ACP),LinkedIn,2026-02-25,1800.0,2400.0,3,Backend,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Autoridad del Canal de Panamá (ACP)) busca incorporar un Python Developer con al menos 3 años de experiencia comprobada.,"Node.js,Java",3,-0.085002763242553,0.03969025265507902,Data & Analytics / BI
118,Java Engineer,Java Engineer,PwC Panamá,Computrabajo,2026-01-28,1700.0,2300.0,1,Backend,"En PwC Panamá estamos expandiendo nuestro equipo técnico. Requerimos Java Engineer con sólidos conocimientos en Git, Docker para liderar la transformación digital de la empresa.","Docker,Git",3,-0.26136439933862965,-0.017611054172024417,Data & Analytics / BI
119,Fullstack Engineer,Fullstack Engineer,APEDE,LinkedIn,2026-05-29,1800.0,2600.0,2,Fullstack,"En APEDE estamos expandiendo nuestro equipo técnico. Requerimos Fullstack Engineer con sólidos conocimientos en JavaScript, React, Docker, AWS, SQL para liderar la transformación digital de la empresa.","Docker,SQL,JavaScript,React,AWS",3,-0.3796819085780807,-0.13800335181883674,Data & Analytics / BI
120,Fullstack Engineer,Fullstack Engineer,Grupo El Machetazo,LinkedIn,2026-03-12,1900.0,2900.0,1,Fullstack,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Grupo El Machetazo) busca incorporar un Fullstack Engineer con al menos 1 años de experiencia comprobada.,"Python,JavaScript",0,-0.2650240176990801,-0.09136742381942924,Frontend / UI Web
121,Product Owner,Product Owner,Dell Technologies Panamá,Konzerta,2025-12-15,2200.0,3400.0,1,Gestión & Agile,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Dell Technologies Panamá) busca incorporar un Product Owner con al menos 1 años de experiencia comprobada.,"Excel,Jira,Scrum",1,0.6838806508584466,-0.2842679236545546,Data & Analytics / BI
122,Desarrollador Web Fullstack,Desarrollador Web Fullstack,Panafoto,Computrabajo,2026-03-23,2000.0,2800.0,1,Fullstack,"En Panafoto estamos expandiendo nuestro equipo técnico. Requerimos Desarrollador Web Fullstack con sólidos conocimientos en JavaScript, Python, AWS para liderar la transformación digital de la empresa.","Python,JavaScript,AWS",3,-0.29763363901797196,-0.02123841669977413,Data & Analytics / BI
123,Python Developer,Python Developer,Grupo El Machetazo,Konzerta,2026-03-01,1700.0,2500.0,3,Backend,"En Grupo El Machetazo estamos expandiendo nuestro equipo técnico. Requerimos Python Developer con sólidos conocimientos en PostgreSQL, Git, Node.js para liderar la transformación digital de la empresa.","PostgreSQL,Node.js,Git",3,-0.17881742654781307,0.0002749046668338485,Data & Analytics / BI
124,Cloud Infrastructure Specialist,Cloud Infrastructure Specialist,EY Panamá,Konzerta,2026-04-19,2400.0,3300.0,1,DevOps & Cloud,"En EY Panamá estamos expandiendo nuestro equipo técnico. Requerimos Cloud Infrastructure Specialist con sólidos conocimientos en Python, Kubernetes, Terraform, Linux, Git, Azure para liderar la transformación digital de la empresa.","Python,Git,Terraform,Linux,Kubernetes,Azure",3,-0.16704276094966586,0.2598360573505954,Data & Analytics / BI
125,Mobile Developer,Mobile Developer,PwC Panamá,LinkedIn,2026-05-01,1400.0,2000.0,2,Mobile,Buscamos un Mobile Developer dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para PwC Panamá en Panamá.,"JavaScript,Git,Flutter,React Native,Swift",0,-0.27602466639402334,-0.32503318222413585,Frontend / UI Web
126,Backend Developer,Backend Developer,EY Panamá,Konzerta,2026-01-28,1500.0,2300.0,1,Backend,"En EY Panamá estamos expandiendo nuestro equipo técnico. Requerimos Backend Developer con sólidos conocimientos en PostgreSQL, Node.js, Docker para liderar la transformación digital de la empresa.","PostgreSQL,Docker,Node.js",3,-0.15141541018627327,0.09720817946704946,Data & Analytics / BI
127,Soporte Técnico IT,Soporte Técnico IT,Encuentra24 PA,LinkedIn,2025-12-16,900.0,1300.0,2,Soporte & IT,"En Encuentra24 PA estamos expandiendo nuestro equipo técnico. Requerimos Soporte Técnico IT con sólidos conocimientos en Excel, Virtualización, Windows Server para liderar la transformación digital de la empresa.","Excel,Virtualización,Windows Server",2,0.33053608444824206,0.4919563940421944,Backend / Java / Core Systems
128,DevOps Engineer,DevOps Engineer,Copa Airlines,LinkedIn,2026-06-11,2100.0,4000.0,3,DevOps & Cloud,Buscamos un DevOps Engineer dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Copa Airlines en Panamá.,"Python,Git,Terraform",3,-0.2164045067396152,0.07962368398797315,Data & Analytics / BI
129,IT Project Manager,IT Project Manager,Dell Technologies Panamá,LinkedIn,2026-01-18,1900.0,2300.0,2,Gestión & Agile,Buscamos un IT Project Manager dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Dell Technologies Panamá en Panamá.,"Excel,Jira,Scrum",1,0.6838806508584466,-0.2842679236545546,Data & Analytics / BI
130,Android Developer,Android Developer,Autoridad del Canal de Panamá (ACP),Computrabajo,2026-03-06,1400.0,2400.0,1,Mobile,Buscamos un Android Developer dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Autoridad del Canal de Panamá (ACP) en Panamá.,"JavaScript,Git,Flutter,Kotlin,React Native",0,-0.28807922234929667,-0.3429203486778175,Frontend / UI Web
131,Desarrollador Web Fullstack,Desarrollador Web Fullstack,Encuentra24 PA,Computrabajo,2026-05-27,1700.0,2500.0,1,Fullstack,"En Encuentra24 PA estamos expandiendo nuestro equipo técnico. Requerimos Desarrollador Web Fullstack con sólidos conocimientos en SQL, Git para liderar la transformación digital de la empresa.","SQL,Git",3,-0.22455204922578703,-0.05313049405039991,Data & Analytics / BI
132,Cloud Infrastructure Specialist,Cloud Infrastructure Specialist,Sonda Panamá,LinkedIn,2026-01-15,2500.0,3400.0,3,DevOps & Cloud,"En Sonda Panamá estamos expandiendo nuestro equipo técnico. Requerimos Cloud Infrastructure Specialist con sólidos conocimientos en AWS, Terraform, Linux, Git, Azure para liderar la transformación digital de la empresa.","Git,Terraform,Linux,AWS,Azure",3,-0.16667817978674368,0.2111145545666668,Data & Analytics / BI
133,Cloud Infrastructure Specialist,Cloud Infrastructure Specialist,Banistmo,Konzerta,2026-03-05,2400.0,2800.0,1,DevOps & Cloud,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Banistmo) busca incorporar un Cloud Infrastructure Specialist con al menos 1 años de experiencia comprobada.,"Python,Terraform,Linux,AWS",3,-0.14913119881115625,0.31103421954081806,Data & Analytics / BI
134,Fullstack Engineer,Fullstack Engineer,GBM Panamá,Computrabajo,2025-12-26,2500.0,3000.0,2,Fullstack,"En GBM Panamá estamos expandiendo nuestro equipo técnico. Requerimos Fullstack Engineer con sólidos conocimientos en JavaScript, Git, React, Python para liderar la transformación digital de la empresa.","Python,JavaScript,Git,React",0,-0.4283718558654985,-0.2757836311411791,Frontend / UI Web
135,DevOps Engineer,DevOps Engineer,Banco General,Computrabajo,2026-03-25,2500.0,3100.0,1,DevOps & Cloud,Buscamos un DevOps Engineer dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Banco General en Panamá.,"Docker,Linux",3,-0.0827462903253573,0.29776865607701747,Data & Analytics / BI
136,Data Scientist,Data Scientist,Tigo Panamá,LinkedIn,2026-04-15,1900.0,2800.0,1,Data & Analytics,"En Tigo Panamá estamos expandiendo nuestro equipo técnico. Requerimos Data Scientist con sólidos conocimientos en Tableau, Python, R, PostgreSQL para liderar la transformación digital de la empresa.","PostgreSQL,Python,R,Tableau",3,-0.03918644586059959,0.1568013121594398,Data & Analytics / BI
137,Java Engineer,Java Engineer,Encuentra24 PA,LinkedIn,2026-03-28,1900.0,2400.0,2,Backend,"En Encuentra24 PA estamos expandiendo nuestro equipo técnico. Requerimos Java Engineer con sólidos conocimientos en .NET, C#, Docker, Spring Boot para liderar la transformación digital de la empresa.","Docker,Spring Boot,.NET,C#",3,-0.11130322532374073,0.1114581750761334,Data & Analytics / BI
138,React Developer,React Developer,Sonda Panamá,Computrabajo,2026-05-09,1300.0,1900.0,2,Frontend,"En Sonda Panamá estamos expandiendo nuestro equipo técnico. Requerimos React Developer con sólidos conocimientos en Vue, Angular, React para liderar la transformación digital de la empresa.","React,Angular,Vue",0,-0.1589065065420951,-0.2328705990305291,Frontend / UI Web
139,Administrador Cloud,Administrador Cloud,Autoridad del Canal de Panamá (ACP),LinkedIn,2025-12-25,2400.0,4200.0,1,DevOps & Cloud,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Autoridad del Canal de Panamá (ACP)) busca incorporar un Administrador Cloud con al menos 1 años de experiencia comprobada.,"Linux,Kubernetes",3,-0.015119341899689696,0.3004133259347662,Data & Analytics / BI
140,Analista de Datos,Analista de Datos,KPMG Panamá,Konzerta,2026-02-11,1900.0,3700.0,3,Data & Analytics,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (KPMG Panamá) busca incorporar un Analista de Datos con al menos 3 años de experiencia comprobada.,"Excel,PostgreSQL,R,Spark,Tableau",3,0.14664684325296634,0.1307678262212031,Data & Analytics / BI
141,Cloud Infrastructure Specialist,Cloud Infrastructure Specialist,Multibank,Konzerta,2026-03-14,1900.0,2700.0,1,DevOps & Cloud,"En Multibank estamos expandiendo nuestro equipo técnico. Requerimos Cloud Infrastructure Specialist con sólidos conocimientos en Kubernetes, Python, Linux, AWS para liderar la transformación digital de la empresa.","Python,Linux,Kubernetes,AWS",3,-0.14783589050888177,0.32841919018956933,Data & Analytics / BI
142,.NET Consultant,.NET Consultant,PwC Panamá,LinkedIn,2026-03-20,1500.0,2500.0,3,Backend,Buscamos un .NET Consultant dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para PwC Panamá en Panamá.,"Docker,C#,Java",3,-0.09794054658238409,0.09115347507919976,Data & Analytics / BI
143,Python Developer,Python Developer,APEDE,LinkedIn,2026-02-03,2200.0,3300.0,2,Backend,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (APEDE) busca incorporar un Python Developer con al menos 2 años de experiencia comprobada.,"Python,Docker,Node.js,C#,Java",3,-0.18515111833254308,0.12379985854732348,Data & Analytics / BI
144,React Developer,React Developer,PwC Panamá,LinkedIn,2026-05-15,1600.0,2600.0,2,Frontend,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (PwC Panamá) busca incorporar un React Developer con al menos 2 años de experiencia comprobada.,"JavaScript,Git,React,Angular,CSS,HTML",0,-0.2866028236698315,-0.3539006886227451,Frontend / UI Web
145,Analista de Datos,Analista de Datos,GBM Panamá,LinkedIn,2026-01-20,1600.0,1900.0,1,Data & Analytics,Buscamos un Analista de Datos dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para GBM Panamá en Panamá.,"Excel,R,Power BI",3,0.16819432245272706,0.09042479392712313,Data & Analytics / BI
146,Java Engineer,Java Engineer,APEDE,LinkedIn,2025-12-15,1700.0,2200.0,2,Backend,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (APEDE) busca incorporar un Java Engineer con al menos 2 años de experiencia comprobada.,"PostgreSQL,Python,C#",3,-0.08839766515540677,0.14792153324551138,Data & Analytics / BI
