id,titulo_original,puesto,empresa,portal,fecha_publicacion,salario_min,salario_max,experiencia_anios,categoria_rol,descripcion,habilidades
90,Administrador Cloud,Administrador Cloud,Global Bank,Computrabajo,2025-12-29,2200.0,4300.0,3,DevOps & Cloud,"En Global Bank estamos expandiendo nuestro equipo técnico. Requerimos Administrador Cloud con sólidos conocimientos en Python, AWS, Docker, Linux, Azure para liderar la transformación digital de la empresa.","Python,Docker,Linux,AWS,Azure"
91,Fullstack Engineer,Fullstack Engineer,PwC Panamá,Konzerta,2026-04-26,2400.0,3700.0,1,Fullstack,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (PwC Panamá) busca incorporar un Fullstack Engineer con al menos 1 años de experiencia comprobada.,"Docker,SQL,JavaScript,Git,React"
92,Fullstack Engineer,Fullstack Engineer,Caja de Seguro Social,Konzerta,2026-05-29,2300.0,3300.0,2,Fullstack,"En Caja de Seguro Social estamos expandiendo nuestro equipo técnico. Requerimos Fullstack Engineer con sólidos conocimientos en JavaScript, React, Docker, Node.js, SQL para liderar la transformación digital de la empresa.","Docker,SQL,Node.js,JavaScript,React"
93,Data Analyst,Data Analyst,Copa Airlines,Computrabajo,2026-01-25,1800.0,3200.0,1,Data & Analytics,Buscamos un Data Analyst dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Copa Airlines en Panamá.,"Excel,Python,R,Spark"
94,DevOps Engineer,DevOps Engineer,Felipe Motta,LinkedIn,2026-04-22,2100.0,4300.0,3,DevOps & Cloud,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Felipe Motta) busca incorporar un DevOps Engineer con al menos 3 años de experiencia comprobada.,"Python,AWS,Azure"
95,Administrador de Sistemas,Administrador de Sistemas,Sonda Panamá,Computrabajo,2026-04-01,1000.0,1400.0,2,Soporte & IT,Buscamos un Administrador de Sistemas dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Sonda Panamá en Panamá.,"Excel,Cisco,Virtualización,Windows Server,Linux"
96,iOS App Developer,iOS App Developer,Cable & Wireless,LinkedIn,2026-05-08,1400.0,2000.0,1,Mobile,"En Cable & Wireless estamos expandiendo nuestro equipo técnico. Requerimos iOS App Developer con sólidos conocimientos en Git, React Native para liderar la transformación digital de la empresa.","Git,React Native"
97,Scrum Master,Scrum Master,APEDE,Konzerta,2026-01-16,1900.0,3300.0,1,Gestión & Agile,Buscamos un Scrum Master dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para APEDE en Panamá.,"Excel,Agile"
98,Android Developer,Android Developer,Banistmo,Konzerta,2026-05-21,2000.0,2700.0,1,Mobile,Buscamos un Android Developer dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Banistmo en Panamá.,"JavaScript,Flutter"
99,Cloud Infrastructure Specialist,Cloud Infrastructure Specialist,Banistmo,Konzerta,2026-06-08,2000.0,4000.0,1,DevOps & Cloud,Buscamos un Cloud Infrastructure Specialist dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Banistmo en Panamá.,"Python,Git,Terraform,AWS"
100,Data Scientist,Data Scientist,Telered,LinkedIn,2026-01-29,1500.0,2300.0,2,Data & Analytics,"En Telered estamos expandiendo nuestro equipo técnico. Requerimos Data Scientist con sólidos conocimientos en Power BI, Python, Excel para liderar la transformación digital de la empresa.","Excel,Python,Power BI"
101,DevOps Engineer,DevOps Engineer,Sonda Panamá,LinkedIn,2026-01-02,2900.0,3300.0,4,DevOps & Cloud,"En Sonda Panamá estamos expandiendo nuestro equipo técnico. Requerimos DevOps Engineer con sólidos conocimientos en Terraform, AWS para liderar la transformación digital de la empresa.","Terraform,AWS"
102,Desarrollador Web Fullstack,Desarrollador Web Fullstack,Banco General,Konzerta,2025-12-29,2000.0,3800.0,2,Fullstack,"En Banco General estamos expandiendo nuestro equipo técnico. Requerimos Desarrollador Web Fullstack con sólidos conocimientos en SQL, Python, AWS, Docker para liderar la transformación digital de la empresa.","Python,Docker,SQL,AWS"
103,Frontend Developer,Frontend Developer,Supermercados Riba Smith,LinkedIn,2026-05-04,1600.0,2800.0,2,Frontend,"En Supermercados Riba Smith estamos expandiendo nuestro equipo técnico. Requerimos Frontend Developer con sólidos conocimientos en JavaScript, React, HTML, Git, Vue para liderar la transformación digital de la empresa.","JavaScript,Git,React,Vue,HTML"
104,Desarrollador Web Fullstack,Desarrollador Web Fullstack,Banistmo,LinkedIn,2026-01-25,1800.0,2300.0,2,Fullstack,"En Banistmo estamos expandiendo nuestro equipo técnico. Requerimos Desarrollador Web Fullstack con sólidos conocimientos en JavaScript, Git, React, AWS para liderar la transformación digital de la empresa.","JavaScript,Git,React,AWS"
105,React Developer,React Developer,PwC Panamá,Computrabajo,2025-12-16,1800.0,2700.0,3,Frontend,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (PwC Panamá) busca incorporar un React Developer con al menos 3 años de experiencia comprobada.,"Vue,TypeScript,CSS"
106,Administrador de Sistemas,Administrador de Sistemas,Cable & Wireless,Computrabajo,2026-05-27,1100.0,1700.0,1,Soporte & IT,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Cable & Wireless) busca incorporar un Administrador de Sistemas con al menos 1 años de experiencia comprobada.,"Virtualización,Linux,Redes"
107,Fullstack Engineer,Fullstack Engineer,GBM Panamá,Konzerta,2025-12-18,1700.0,2700.0,2,Fullstack,"En GBM Panamá estamos expandiendo nuestro equipo técnico. Requerimos Fullstack Engineer con sólidos conocimientos en AWS, Docker para liderar la transformación digital de la empresa.","Docker,AWS"
108,Fullstack Engineer,Fullstack Engineer,Caja de Seguro Social,Konzerta,2026-03-22,2000.0,3300.0,2,Fullstack,"En Caja de Seguro Social estamos expandiendo nuestro equipo técnico. Requerimos Fullstack Engineer con sólidos conocimientos en SQL, React, AWS para liderar la transformación digital de la empresa.","SQL,React,AWS"
109,Administrador de Sistemas,Administrador de Sistemas,Banistmo,Computrabajo,2026-01-03,1100.0,1600.0,1,Soporte & IT,Buscamos un Administrador de Sistemas dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Banistmo en Panamá.,"Excel,Cisco,Virtualización,Windows Server,Redes"
110,Administrador de Sistemas,Administrador de Sistemas,Autoridad del Canal de Panamá (ACP),Konzerta,2026-02-04,1100.0,1600.0,3,Soporte & IT,"En Autoridad del Canal de Panamá (ACP) estamos expandiendo nuestro equipo técnico. Requerimos Administrador de Sistemas con sólidos conocimientos en Excel, Virtualización, Windows Server para liderar la transformación digital de la empresa.","Excel,Virtualización,Windows Server"
111,Frontend Developer,Frontend Developer,APEDE,Konzerta,2025-12-25,1400.0,2300.0,3,Frontend,Buscamos un Frontend Developer dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para APEDE en Panamá.,"JavaScript,Git,CSS"
112,Scrum Master,Scrum Master,APEDE,Computrabajo,2026-02-27,2500.0,3300.0,2,Gestión & Agile,Buscamos un Scrum Master dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para APEDE en Panamá.,"Excel,Agile"
113,Scrum Master,Scrum Master,Autoridad del Canal de Panamá (ACP),LinkedIn,2026-03-23,2200.0,3200.0,3,Gestión & Agile,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Autoridad del Canal de Panamá (ACP)) busca incorporar un Scrum Master con al menos 3 años de experiencia comprobada.,"Excel,Jira,Scrum,Agile"
114,Python Developer,Python Developer,Panafoto,Konzerta,2026-04-11,2100.0,2700.0,1,Backend,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Panafoto) busca incorporar un Python Developer con al menos 1 años de experiencia comprobada.,"Python,Spring Boot,Git,Java"
115,Scrum Master,Scrum Master,Caja de Seguro Social,Konzerta,2026-04-23,2000.0,3200.0,1,Gestión & Agile,Buscamos un Scrum Master dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Caja de Seguro Social en Panamá.,"Excel,Jira,Scrum,Agile"
116,Cloud Infrastructure Specialist,Cloud Infrastructure Specialist,Encuentra24 PA,Konzerta,2025-12-16,2800.0,3700.0,7,DevOps & Cloud,"En Encuentra24 PA estamos expandiendo nuestro equipo técnico. Requerimos Cloud Infrastructure Specialist con sólidos conocimientos en Linux, Azure, Terraform, Git para liderar la transformación digital de la empresa.","Git,Terraform,Linux,Azure"
117,Python Developer,Python Developer,Autoridad del Canal de Panamá (ACP),LinkedIn,2026-02-25,1800.0,2400.0,3,Backend,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Autoridad del Canal de Panamá (ACP)) busca incorporar un Python Developer con al menos 3 años de experiencia comprobada.,"Node.js,Java"
118,Java Engineer,Java Engineer,PwC Panamá,Computrabajo,2026-01-28,1700.0,2300.0,1,Backend,"En PwC Panamá estamos expandiendo nuestro equipo técnico. Requerimos Java Engineer con sólidos conocimientos en Git, Docker para liderar la transformación digital de la empresa.","Docker,Git"
119,Fullstack Engineer,Fullstack Engineer,APEDE,LinkedIn,2026-05-29,1800.0,2600.0,2,Fullstack,"En APEDE estamos expandiendo nuestro equipo técnico. Requerimos Fullstack Engineer con sólidos conocimientos en JavaScript, React, Docker, AWS, SQL para liderar la transformación digital de la empresa.","Docker,SQL,JavaScript,React,AWS"
120,Fullstack Engineer,Fullstack Engineer,Grupo El Machetazo,LinkedIn,2026-03-12,1900.0,2900.0,1,Fullstack,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Grupo El Machetazo) busca incorporar un Fullstack Engineer con al menos 1 años de experiencia comprobada.,"Python,JavaScript"
121,Product Owner,Product Owner,Dell Technologies Panamá,Konzerta,2025-12-15,2200.0,3400.0,1,Gestión & Agile,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Dell Technologies Panamá) busca incorporar un Product Owner con al menos 1 años de experiencia comprobada.,"Excel,Jira,Scrum"
122,Desarrollador Web Fullstack,Desarrollador Web Fullstack,Panafoto,Computrabajo,2026-03-23,2000.0,2800.0,1,Fullstack,"En Panafoto estamos expandiendo nuestro equipo técnico. Requerimos Desarrollador Web Fullstack con sólidos conocimientos en JavaScript, Python, AWS para liderar la transformación digital de la empresa.","Python,JavaScript,AWS"
123,Python Developer,Python Developer,Grupo El Machetazo,Konzerta,2026-03-01,1700.0,2500.0,3,Backend,"En Grupo El Machetazo estamos expandiendo nuestro equipo técnico. Requerimos Python Developer con sólidos conocimientos en PostgreSQL, Git, Node.js para liderar la transformación digital de la empresa.","PostgreSQL,Node.js,Git"
124,Cloud Infrastructure Specialist,Cloud Infrastructure Specialist,EY Panamá,Konzerta,2026-04-19,2400.0,3300.0,1,DevOps & Cloud,"En EY Panamá estamos expandiendo nuestro equipo técnico. Requerimos Cloud Infrastructure Specialist con sólidos conocimientos en Python, Kubernetes, Terraform, Linux, Git, Azure para liderar la transformación digital de la empresa.","Python,Git,Terraform,Linux,Kubernetes,Azure"
125,Mobile Developer,Mobile Developer,PwC Panamá,LinkedIn,2026-05-01,1400.0,2000.0,2,Mobile,Buscamos un Mobile Developer dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para PwC Panamá en Panamá.,"JavaScript,Git,Flutter,React Native,Swift"
126,Backend Developer,Backend Developer,EY Panamá,Konzerta,2026-01-28,1500.0,2300.0,1,Backend,"En EY Panamá estamos expandiendo nuestro equipo técnico. Requerimos Backend Developer con sólidos conocimientos en PostgreSQL, Node.js, Docker para liderar la transformación digital de la empresa.","PostgreSQL,Docker,Node.js"
127,Soporte Técnico IT,Soporte Técnico IT,Encuentra24 PA,LinkedIn,2025-12-16,900.0,1300.0,2,Soporte & IT,"En Encuentra24 PA estamos expandiendo nuestro equipo técnico. Requerimos Soporte Técnico IT con sólidos conocimientos en Excel, Virtualización, Windows Server para liderar la transformación digital de la empresa.","Excel,Virtualización,Windows Server"
128,DevOps Engineer,DevOps Engineer,Copa Airlines,LinkedIn,2026-06-11,2100.0,4000.0,3,DevOps & Cloud,Buscamos un DevOps Engineer dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Copa Airlines en Panamá.,"Python,Git,Terraform"
129,IT Project Manager,IT Project Manager,Dell Technologies Panamá,LinkedIn,2026-01-18,1900.0,2300.0,2,Gestión & Agile,Buscamos un IT Project Manager dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Dell Technologies Panamá en Panamá.,"Excel,Jira,Scrum"
130,Android Developer,Android Developer,Autoridad del Canal de Panamá (ACP),Computrabajo,2026-03-06,1400.0,2400.0,1,Mobile,Buscamos un Android Developer dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Autoridad del Canal de Panamá (ACP) en Panamá.,"JavaScript,Git,Flutter,Kotlin,React Native"
131,Desarrollador Web Fullstack,Desarrollador Web Fullstack,Encuentra24 PA,Computrabajo,2026-05-27,1700.0,2500.0,1,Fullstack,"En Encuentra24 PA estamos expandiendo nuestro equipo técnico. Requerimos Desarrollador Web Fullstack con sólidos conocimientos en SQL, Git para liderar la transformación digital de la empresa.","SQL,Git"
132,Cloud Infrastructure Specialist,Cloud Infrastructure Specialist,Sonda Panamá,LinkedIn,2026-01-15,2500.0,3400.0,3,DevOps & Cloud,"En Sonda Panamá estamos expandiendo nuestro equipo técnico. Requerimos Cloud Infrastructure Specialist con sólidos conocimientos en AWS, Terraform, Linux, Git, Azure para liderar la transformación digital de la empresa.","Git,Terraform,Linux,AWS,Azure"
133,Cloud Infrastructure Specialist,Cloud Infrastructure Specialist,Banistmo,Konzerta,2026-03-05,2400.0,2800.0,1,DevOps & Cloud,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Banistmo) busca incorporar un Cloud Infrastructure Specialist con al menos 1 años de experiencia comprobada.,"Python,Terraform,Linux,AWS"
134,Fullstack Engineer,Fullstack Engineer,GBM Panamá,Computrabajo,2025-12-26,2500.0,3000.0,2,Fullstack,"En GBM Panamá estamos expandiendo nuestro equipo técnico. Requerimos Fullstack Engineer con sólidos conocimientos en JavaScript, Git, React, Python para liderar la transformación digital de la empresa.","Python,JavaScript,Git,React"
135,DevOps Engineer,DevOps Engineer,Banco General,Computrabajo,2026-03-25,2500.0,3100.0,1,DevOps & Cloud,Buscamos un DevOps Engineer dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Banco General en Panamá.,"Docker,Linux"
136,Data Scientist,Data Scientist,Tigo Panamá,LinkedIn,2026-04-15,1900.0,2800.0,1,Data & Analytics,"En Tigo Panamá estamos expandiendo nuestro equipo técnico. Requerimos Data Scientist con sólidos conocimientos en Tableau, Python, R, PostgreSQL para liderar la transformación digital de la empresa.","PostgreSQL,Python,R,Tableau"
137,Java Engineer,Java Engineer,Encuentra24 PA,LinkedIn,2026-03-28,1900.0,2400.0,2,Backend,"En Encuentra24 PA estamos expandiendo nuestro equipo técnico. Requerimos Java Engineer con sólidos conocimientos en .NET, C#, Docker, Spring Boot para liderar la transformación digital de la empresa.","Docker,Spring Boot,.NET,C#"
138,React Developer,React Developer,Sonda Panamá,Computrabajo,2026-05-09,1300.0,1900.0,2,Frontend,"En Sonda Panamá estamos expandiendo nuestro equipo técnico. Requerimos React Developer con sólidos conocimientos en Vue, Angular, React para liderar la transformación digital de la empresa.","React,Angular,Vue"
139,Administrador Cloud,Administrador Cloud,Autoridad del Canal de Panamá (ACP),LinkedIn,2025-12-25,2400.0,4200.0,1,DevOps & Cloud,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Autoridad del Canal de Panamá (ACP)) busca incorporar un Administrador Cloud con al menos 1 años de experiencia comprobada.,"Linux,Kubernetes"
140,Analista de Datos,Analista de Datos,KPMG Panamá,Konzerta,2026-02-11,1900.0,3700.0,3,Data & Analytics,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (KPMG Panamá) busca incorporar un Analista de Datos con al menos 3 años de experiencia comprobada.,"Excel,PostgreSQL,R,Spark,Tableau"
141,Cloud Infrastructure Specialist,Cloud Infrastructure Specialist,Multibank,Konzerta,2026-03-14,1900.0,2700.0,1,DevOps & Cloud,"En Multibank estamos expandiendo nuestro equipo técnico. Requerimos Cloud Infrastructure Specialist con sólidos conocimientos en Kubernetes, Python, Linux, AWS para liderar la transformación digital de la empresa.","Python,Linux,Kubernetes,AWS"
142,.NET Consultant,.NET Consultant,PwC Panamá,LinkedIn,2026-03-20,1500.0,2500.0,3,Backend,Buscamos un .NET Consultant dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para PwC Panamá en Panamá.,"Docker,C#,Java"
143,Python Developer,Python Developer,APEDE,LinkedIn,2026-02-03,2200.0,3300.0,2,Backend,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (APEDE) busca incorporar un Python Developer con al menos 2 años de experiencia comprobada.,"Python,Docker,Node.js,C#,Java"
144,React Developer,React Developer,PwC Panamá,LinkedIn,2026-05-15,1600.0,2600.0,2,Frontend,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (PwC Panamá) busca incorporar un React Developer con al menos 2 años de experiencia comprobada.,"JavaScript,Git,React,Angular,CSS,HTML"
145,Analista de Datos,Analista de Datos,GBM Panamá,LinkedIn,2026-01-20,1600.0,1900.0,1,Data & Analytics,Buscamos un Analista de Datos dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para GBM Panamá en Panamá.,"Excel,R,Power BI"
146,Java Engineer,Java Engineer,APEDE,LinkedIn,2025-12-15,1700.0,2200.0,2,Backend,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (APEDE) busca incorporar un Java Engineer con al menos 2 años de experiencia comprobada.,"PostgreSQL,Python,C#"
147,Frontend Developer,Frontend Developer,Encuentra24 PA,LinkedIn,2026-02-24,1700.0,2400.0,1,Frontend,"En Encuentra24 PA estamos expandiendo nuestro equipo técnico. Requerimos Frontend Developer con sólidos conocimientos en Angular, Vue, HTML, TypeScript para liderar la transformación digital de la empresa.","Angular,Vue,TypeScript,HTML"
148,Soporte Técnico IT,Soporte Técnico IT,Copa Airlines,Konzerta,2026-01-19,1200.0,1500.0,1,Soporte & IT,Buscamos un Soporte Técnico IT dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Copa Airlines en Panamá.,"Excel,Cisco,Virtualización,Redes"
149,Mobile Developer,Mobile Developer,Sonda Panamá,Konzerta,2026-02-20,1800.0,2100.0,1,Mobile,Buscamos un Mobile Developer dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Sonda Panamá en Panamá.,"JavaScript,Flutter"
150,Soporte Técnico IT,Soporte Técnico IT,Telered,Computrabajo,2026-05-19,1000.0,1700.0,3,Soporte & IT,"En Telered estamos expandiendo nuestro equipo técnico. Requerimos Soporte Técnico IT con sólidos conocimientos en Windows Server, Linux, Virtualización, Redes para liderar la transformación digital de la empresa.","Virtualización,Windows Server,Linux,Redes"
151,Desarrollador Web Fullstack,Desarrollador Web Fullstack,Copa Airlines,Konzerta,2026-03-04,2100.0,2400.0,1,Fullstack,"En Copa Airlines estamos expandiendo nuestro equipo técnico. Requerimos Desarrollador Web Fullstack con sólidos conocimientos en JavaScript, React, AWS, Docker, Git para liderar la transformación digital de la empresa.","Docker,JavaScript,Git,React,AWS"
152,Administrador de Sistemas,Administrador de Sistemas,Felipe Motta,Computrabajo,2026-02-28,1200.0,1500.0,3,Soporte & IT,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Felipe Motta) busca incorporar un Administrador de Sistemas con al menos 3 años de experiencia comprobada.,"Excel,Virtualización"
153,Android Developer,Android Developer,Multibank,LinkedIn,2026-03-26,1800.0,2400.0,3,Mobile,"En Multibank estamos expandiendo nuestro equipo técnico. Requerimos Android Developer con sólidos conocimientos en JavaScript, Flutter, Swift para liderar la transformación digital de la empresa.","JavaScript,Flutter,Swift"
154,Android Developer,Android Developer,Copa Airlines,Computrabajo,2025-12-20,1900.0,2300.0,2,Mobile,Buscamos un Android Developer dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Copa Airlines en Panamá.,"Git,Flutter,React Native"
155,Product Owner,Product Owner,GBM Panamá,LinkedIn,2026-06-11,2200.0,3200.0,2,Gestión & Agile,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (GBM Panamá) busca incorporar un Product Owner con al menos 2 años de experiencia comprobada.,"Excel,Jira,Scrum,Agile"
156,.NET Consultant,.NET Consultant,Copa Airlines,Computrabajo,2026-03-11,2000.0,3500.0,2,Backend,Buscamos un .NET Consultant dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Copa Airlines en Panamá.,"Spring Boot,Git,Java"
157,Backend Developer,Backend Developer,EY Panamá,Computrabajo,2026-01-18,2000.0,3000.0,1,Backend,"En EY Panamá estamos expandiendo nuestro equipo técnico. Requerimos Backend Developer con sólidos conocimientos en Spring Boot, Node.js, SQL, Git, PostgreSQL para liderar la transformación digital de la empresa.","PostgreSQL,Spring Boot,SQL,Node.js,Git"
158,Backend Developer,Backend Developer,Dell Technologies Panamá,Computrabajo,2026-04-04,1600.0,2400.0,2,Backend,Buscamos un Backend Developer dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Dell Technologies Panamá en Panamá.,"Spring Boot,SQL,Node.js,Git,C#"
159,IT Project Manager,IT Project Manager,EY Panamá,LinkedIn,2026-05-14,2400.0,2800.0,1,Gestión & Agile,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (EY Panamá) busca incorporar un IT Project Manager con al menos 1 años de experiencia comprobada.,"Jira,Scrum"
160,Data Scientist,Data Scientist,Tigo Panamá,LinkedIn,2026-04-27,1900.0,2200.0,2,Data & Analytics,Buscamos un Data Scientist dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Tigo Panamá en Panamá.,"Excel,PostgreSQL,Python,SQL,Tableau"
161,IT Project Manager,IT Project Manager,Panafoto,LinkedIn,2025-12-19,2600.0,3000.0,5,Gestión & Agile,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Panafoto) busca incorporar un IT Project Manager con al menos 5 años de experiencia comprobada.,"Excel,Jira,Scrum,Agile"
162,.NET Consultant,.NET Consultant,EY Panamá,Computrabajo,2026-04-23,1700.0,2300.0,1,Backend,"En EY Panamá estamos expandiendo nuestro equipo técnico. Requerimos .NET Consultant con sólidos conocimientos en PostgreSQL, Python, Docker, Spring Boot para liderar la transformación digital de la empresa.","PostgreSQL,Python,Docker,Spring Boot"
163,.NET Consultant,.NET Consultant,Sonda Panamá,Computrabajo,2026-04-16,1600.0,2200.0,3,Backend,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Sonda Panamá) busca incorporar un .NET Consultant con al menos 3 años de experiencia comprobada.,".NET,Java"
164,BI Engineer,BI Engineer,Tigo Panamá,Konzerta,2026-03-02,1700.0,2000.0,1,Data & Analytics,"En Tigo Panamá estamos expandiendo nuestro equipo técnico. Requerimos BI Engineer con sólidos conocimientos en Python, Spark para liderar la transformación digital de la empresa.","Python,Spark"
165,Ingeniero de Soporte,Ingeniero de Soporte,Caja de Seguro Social,Konzerta,2026-04-03,900.0,1600.0,1,Soporte & IT,Buscamos un Ingeniero de Soporte dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Caja de Seguro Social en Panamá.,"Cisco,Windows Server,Linux,Redes"
166,Product Owner,Product Owner,Sonda Panamá,LinkedIn,2025-12-18,2300.0,3000.0,3,Gestión & Agile,Buscamos un Product Owner dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Sonda Panamá en Panamá.,"Excel,Jira,Agile"
167,Cloud Infrastructure Specialist,Cloud Infrastructure Specialist,Supermercados Riba Smith,Konzerta,2026-06-06,2800.0,3800.0,7,DevOps & Cloud,Buscamos un Cloud Infrastructure Specialist dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Supermercados Riba Smith en Panamá.,"Python,Git,Kubernetes"
168,React Developer,React Developer,Caja de Seguro Social,LinkedIn,2026-06-08,1700.0,2100.0,2,Frontend,"En Caja de Seguro Social estamos expandiendo nuestro equipo técnico. Requerimos React Developer con sólidos conocimientos en React, Git, Vue, JavaScript para liderar la transformación digital de la empresa.","JavaScript,Git,React,Vue"
169,Desarrollador Web Fullstack,Desarrollador Web Fullstack,Tigo Panamá,LinkedIn,2026-02-07,1800.0,3500.0,1,Fullstack,"En Tigo Panamá estamos expandiendo nuestro equipo técnico. Requerimos Desarrollador Web Fullstack con sólidos conocimientos en Python, React, Docker, Node.js, Git para liderar la transformación digital de la empresa.","Python,Docker,Node.js,Git,React"
170,Python Developer,Python Developer,Telered,Konzerta,2026-02-20,2000.0,2900.0,3,Backend,Buscamos un Python Developer dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Telered en Panamá.,"Python,SQL,.NET,Git,Java"
171,Scrum Master,Scrum Master,GBM Panamá,Computrabajo,2026-04-21,2000.0,2400.0,1,Gestión & Agile,Buscamos un Scrum Master dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para GBM Panamá en Panamá.,"Excel,Jira,Scrum,Agile"
172,Cloud Infrastructure Specialist,Cloud Infrastructure Specialist,GBM Panamá,Computrabajo,2025-12-20,2500.0,3400.0,1,DevOps & Cloud,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (GBM Panamá) busca incorporar un Cloud Infrastructure Specialist con al menos 1 años de experiencia comprobada.,"Python,Git,Linux,Kubernetes,Azure"
173,iOS App Developer,iOS App Developer,Tigo Panamá,LinkedIn,2026-05-25,2000.0,2400.0,1,Mobile,"En Tigo Panamá estamos expandiendo nuestro equipo técnico. Requerimos iOS App Developer con sólidos conocimientos en JavaScript, Swift, React Native, Kotlin, Git para liderar la transformación digital de la empresa.","JavaScript,Git,Kotlin,React Native,Swift"
174,Scrum Master,Scrum Master,Banco General,LinkedIn,2026-06-08,2200.0,2800.0,3,Gestión & Agile,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Banco General) busca incorporar un Scrum Master con al menos 3 años de experiencia comprobada.,"Excel,Agile"
175,Frontend Developer,Frontend Developer,Telered,LinkedIn,2026-04-26,1500.0,2300.0,2,Frontend,Gran oportunidad laboral en Ciudad de Panamá. Importante empresa del sector (Telered) busca incorporar un Frontend Developer con al menos 2 años de experiencia comprobada.,"Git,React,Vue,TypeScript,CSS,HTML"
176,Administrador de Sistemas,Administrador de Sistemas,Cable & Wireless,LinkedIn,2026-04-19,1000.0,1300.0,2,Soporte & IT,Buscamos un Administrador de Sistemas dinámico para integrarse a nuestro equipo de tecnología. Trabajarás en el desarrollo y mantenimiento de sistemas críticos para Cable & Wireless en Panamá.,"Excel,Cisco,Virtualización,Redes"
